Description:           Daily Index of EDGAR Dissemination Feed
Last Data Received:    Apr  1, 2020
Comments:              webmaster@sec.gov
Anonymous FTP:         ftp://ftp.sec.gov/edgar/
 
CIK|Company Name|Form Type|Date Filed|File Name
--------------------------------------------------------------------------------
1000229|CORE LABORATORIES N V|SC 13G/A|20200401|edgar/data/1000229/0000869178-20-000110.txt
1000230|OPTICAL CABLE CORP|8-K|20200401|edgar/data/1000230/0001437749-20-006737.txt
1000275|ROYAL BANK OF CANADA|424B2|20200401|edgar/data/1000275/0001140361-20-007714.txt
1000275|ROYAL BANK OF CANADA|FWP|20200401|edgar/data/1000275/0001140361-20-007642.txt
1000275|ROYAL BANK OF CANADA|FWP|20200401|edgar/data/1000275/0001140361-20-007660.txt
1000275|ROYAL BANK OF CANADA|FWP|20200401|edgar/data/1000275/0001140361-20-007662.txt
1000275|ROYAL BANK OF CANADA|FWP|20200401|edgar/data/1000275/0001140361-20-007664.txt
1000275|ROYAL BANK OF CANADA|FWP|20200401|edgar/data/1000275/0001140361-20-007666.txt
1000275|ROYAL BANK OF CANADA|FWP|20200401|edgar/data/1000275/0001140361-20-007670.txt
1000275|ROYAL BANK OF CANADA|FWP|20200401|edgar/data/1000275/0001140361-20-007697.txt
1000623|SCHWEITZER MAUDUIT INTERNATIONAL INC|4|20200401|edgar/data/1000623/0001000623-20-000056.txt
1000623|SCHWEITZER MAUDUIT INTERNATIONAL INC|4|20200401|edgar/data/1000623/0001000623-20-000057.txt
1000623|SCHWEITZER MAUDUIT INTERNATIONAL INC|4|20200401|edgar/data/1000623/0001000623-20-000058.txt
1000623|SCHWEITZER MAUDUIT INTERNATIONAL INC|4|20200401|edgar/data/1000623/0001000623-20-000059.txt
1000623|SCHWEITZER MAUDUIT INTERNATIONAL INC|4|20200401|edgar/data/1000623/0001000623-20-000060.txt
1000623|SCHWEITZER MAUDUIT INTERNATIONAL INC|4|20200401|edgar/data/1000623/0001000623-20-000061.txt
1000623|SCHWEITZER MAUDUIT INTERNATIONAL INC|4|20200401|edgar/data/1000623/0001000623-20-000062.txt
1000623|SCHWEITZER MAUDUIT INTERNATIONAL INC|4|20200401|edgar/data/1000623/0001000623-20-000063.txt
1001085|BROOKFIELD ASSET MANAGEMENT INC.|6-K|20200401|edgar/data/1001085/0001171843-20-002265.txt
1001290|CREDICORP LTD|6-K|20200401|edgar/data/1001290/0001104659-20-041475.txt
1001385|NORTHWEST PIPE CO|8-K|20200401|edgar/data/1001385/0001437749-20-006765.txt
1002427|Morgan Stanley Insight Fund|497J|20200401|edgar/data/1002427/0001133228-20-001560.txt
1002638|OPEN TEXT CORP|8-K|20200401|edgar/data/1002638/0001002638-20-000007.txt
1002910|AMEREN CORP|424B2|20200401|edgar/data/1002910/0001047469-20-001989.txt
1003410|DUKE REALTY Ltd PARTNERSHIP/|8-K|20200401|edgar/data/1003410/0000783280-20-000024.txt
100493|TYSON FOODS, INC.|8-K|20200401|edgar/data/100493/0000100493-20-000065.txt
1005170|WINFREY OPRAH|4|20200401|edgar/data/1005170/0001209191-20-022117.txt
1005334|SANDERS HARVEY|4|20200401|edgar/data/1005334/0001246360-20-000992.txt
1005942|PUTNAM FUNDS TRUST|497J|20200401|edgar/data/1005942/0000928816-20-000387.txt
1006373|DEUTSCHE DWS INVESTMENTS VIT FUNDS|497|20200401|edgar/data/1006373/0000088053-20-000372.txt
1006830|CONSUMERS BANCORP INC /OH/|4|20200401|edgar/data/1006830/0001437749-20-006757.txt
1006837|HC2 HOLDINGS, INC.|DEFA14A|20200401|edgar/data/1006837/0001104659-20-041551.txt
1007019|COFFEE HOLDING CO INC|DEFA14A|20200401|edgar/data/1007019/0001654954-20-003685.txt
1007433|JAMES BROOKE WILLIAMS|4|20200401|edgar/data/1007433/0000318300-20-000154.txt
100885|UNION PACIFIC CORP|424B5|20200401|edgar/data/100885/0001193125-20-094693.txt
1010502|NAULT ROBERT P|4|20200401|edgar/data/1010502/0001209191-20-022325.txt
1010612|SYKES ENTERPRISES INC|4|20200401|edgar/data/1010612/0001127602-20-012343.txt
